Topic ID,CLD Score,,,,,,,
279,0.01,,,,,,,
864,0.01,,,,,,,
1599,0.01,,,,,,,
1102,0.01,,,,,,,
1169,0.01,,,,,,,
1769,0.01,,,,,,,
1292,0.01,,,,,,,
620,0.01,,,,,,,
1695,0.01,,,,,,,
263,0.01,,,,,,,
884,0.01,,,,,,,
1152,0.01,,,,,,,
1513,0.01,,,,,,,
706,0.01,,,,,,,
42,0.01,,,,,,,
106,0.01,,,,,,,
1854,0.01,,,,,,,
1820,0.01,,,,,,,
775,0.01,,,,,,,
307,0.01,,,,,,,
1197,0.009,,,,,,,
996,0.009,,,,,,,
1668,0.009,,,,,,,
1175,0.009,,,,,,,
450,0.009,,,,,,,
64,0.009,,,,,,,
193,0.009,,,,,,,
1032,0.009,,,,,,,
153,0.009,,,,,,,
976,0.009,,,,,,,
1042,0.009,,,,,,,
451,0.009,,,,,,,
1779,0.009,,,,,,,
1268,0.009,,,,,,,
1447,0.009,,,,,,,
1406,0.009,,,,,,,
1265,0.009,,,,,,,
1481,0.009,,,,,,,
797,0.009,,,,,,,
1135,0.009,,,,,,,
1828,0.009,,,,,,,
1591,0.009,,,,,,,
1967,0.009,,,,,,,
1972,0.009,,,,,,,
628,0.009,,,,,,,
335,0.009,,,,,,,
673,0.009,,,,,,,
839,0.009,,,,,,,
502,0.009,,,,,,,
1044,0.009,,,,,,,
769,0.009,,,,,,,
1519,0.009,,,,,,,
746,0.009,,,,,,,
835,0.009,,,,,,,
1386,0.008,,,,,,,
1484,0.008,,,,,,,
602,0.008,,,,,,,
924,0.008,,,,,,,
630,0.008,,,,,,,
713,0.008,,,,,,,
310,0.008,,,,,,,
540,0.008,,,,,,,
886,0.008,,,,,,,
1204,0.008,,,,,,,
591,0.008,,,,,,,
1065,0.008,,,,,,,
1314,0.008,,,,,,,
1199,0.008,,,,,,,
733,0.008,,,,,,,
734,0.008,,,,,,,
1425,0.008,,,,,,,
34,0.008,,,,,,,
1097,0.008,,,,,,,
646,0.008,,,,,,,
1077,0.008,,,,,,,
1624,0.008,,,,,,,
37,0.008,,,,,,,
951,0.008,,,,,,,
1322,0.008,,,,,,,
1313,0.008,,,,,,,
199,0.008,,,,,,,
982,0.008,,,,,,,
586,0.008,,,,,,,
1547,0.008,,,,,,,
1376,0.008,,,,,,,
855,0.008,,,,,,,
448,0.007,,,,,,,
